Word	Count
။	782
သည်	511
ကို	405
၊	360
ပါ	246
၏	237
များ	195
တို့	171
သော	160
၍	142
ဖြစ်	133
က	127
တွင်	120
ရှိ	115
ကြ	109
မ	106
သို့	106
ဟု	104
ရ	102
လည်း	101
တစ်	94
/	88
(	88
)	87
နှင့်	86
မည်	83
နေ	68
မှာ	67
ထား	63
ကြီး	61
ရေး	61
မှ	59
ရန်	58
လေ	56
နိုင်	55
ရာ	55
ဖြင့်	52
လျှင်	51
သနည်း	50
သူ	50
ပြီး	48
တယ်	47
ပြော	46
ဆို	46
လာ	45
ထို	43
၌	43
ခြင်း	42
စ	38
နှစ်	38
သည့်	37
ပြန်	36
မျောက်	36
ဖတ်	35
စွာ	35
အသံ	34
ကြောင့်	34
ခဲ့	33
တော့	32
ဗိုလ်ချုပ်အောင်ဆန်း	32
တတ်	31
ကောင်း	31
ပေး	31
အောက်	31
ထွက်	31
သွား	30
ထမနဲ	30
သာ	30
စကား	29
အား	29
ဦး	27
အောင်	27
ရောက်	26
____	25
ပြ	25
လို	24
ပေါ်	24
သား	24
သိုး	24
စေ	23
သတ်ပုံ	23
ရေ	23
ခ	22
လို့	22
သုဝဏ္ဏသာမ	21
ခု	21
မုဆိုး	21
သမင်	21
လိုက်	21
သစ်ပင်	21
ပြုလုပ်	20
ဤ	20
စာအုပ်	20
မေး	19
ပြေး	19
ဆင်	19
ထိုး	18
လုပ်	18
သင်	18
ကျ	18
ငါ	18
အတွင်း	18
တဲ့	18
ယုန်	17
သောအခါ	17
မှု	17
သော်	17
စား	16
လျက်	16
လုပ်ငန်း	16
သုံး	16
၁	16
ပင်	16
မြန်မာ	16
ကောင်	16
ကျွန်ုပ်	16
ငယ်	16
ပါး	16
ကျောင်း	16
ကာ	16
အဘယ်	15
စိန်ဗေဒါ	15
မြင်	15
အခါ	15
ဝင်	15
ဇီးကွက်	15
စာကြည့်တိုက်	15
ဖြည့်	15
စကားလုံး	15
ပြု	15
ကျောင်းသား	15
ပစ်	15
၂	15
အနက်	15
ရွှေတိဂုံစေတီတော်	14
ကွင်း	14
၃	14
သင်ကြား	14
(ဂ)	14
လူ	14
မိ	14
ထိုအခါ	14
ဟာ	14
အတိုင်း	14
ပညာ	14
သိ	14
မယ်	14
သဖြင့်	14
မူ	14
ဖြေ	14
တွေ	13
မင်းကြီး	13
လုံး	13
ဝါကျ	13
ပြီ	13
လေ့ကျင့်ခန်း	13
မိဘ	13
ယူ	13
လ	13
ဖွဲ့	12
စေတီတော်	12
မိမိ	12
အင်္ဂလိပ်	12
ဖြတ်	12
မျောက်မင်း	12
ချိန်	12
မြစ်	12
ပုံ	12
ဆောင်ရွက်	12
ဘာသာ	12
သရက်ပင်	12
ပန်း	11
ကြောင်း	11
တိုင်း	11
လေး	11
မှန်ကန်	11
ဘဲ	11
ကဗျာ	11
မျိုး	11
ဆုံး	11
အဲဒီ	11
တက်	11
မေးခွန်း	11
အဓိပ္ပာယ်	11
တွေ့	11
ခေါက်ရှာငှက်	11
လိပ်	11
ကွက်လပ်	11
ထို့ကြောင့်	11
တပည့်	11
စာ	10
(ဃ)	10
ဆိုင်း	10
တီး	10
ကျော့ကွင်း	10
ပွဲ	10
သင့်	10
ကြား	10
ရွေး	10
