Word	Count
။	610
သည်	196
ပါ	179
ကြ	148
ကို	144
က	134
မှာ	115
ကလေး	103
နေ	98
တွေ	95
တယ်	93
မ	87
____	79
တို့	75
(	73
များ	71
)	71
ရ	58
နဲ့	54
ရှိ	51
တစ်	49
ရဲ့	40
လဲ	39
""""	37
မည်	35
တဲ့	35
ထား	35
ကျွန်တော်	35
အောင်	34
၏	34
ဖြစ်	33
သား	33
သူ	32
ပြီး	32
၊	32
နိုင်	31
လာ	31
ပြော	31
ထဲ	29
နှင့်	28
သလဲ	27
ကျောင်း	27
မယ်	26
ဆို	26
ယောက်	26
တွင်	26
ပေး	25
ကောင်း	24
စရာ	23
ပြီ	23
ကြည့်	23
၍	23
ဘာ	22
လား	22
-	22
ခဲ့	22
ပွဲ	22
ရေး	21
အသိုက်	21
၁	20
လို့	20
လေ	20
သွား	20
သတဲ့	20
လှ	19
လုပ်	19
တာ	19
စေ	19
၂	19
ငှက်	19
၃	18
သိ	18
လိုက်	17
အိမ်	17
ရွာ	17
ကြီး	17
လ	17
ဟာ	17
လေး	17
တွဲ	17
မှတ်	17
အသတ်	16
စာ	16
ပုံ	16
ဦး	15
ဗျည်း	15
(ဃ)	15
လက္ခဏာ	15
ကစား	15
ရေ	15
ချိုး	15
တော့	15
(င)	14
ခ	14
...	13
သုံး	13
မိုး	13
စား	13
ကာ	13
ပန်း	13
၄	13
+	13
(ဂ)	13
ကြောင့်	12
အဘိုးအို	12
ဘယ်လို	12
သော	12
တိုင်း	12
နား	12
ချင်	11
ကျွေး	11
ရာ	11
ပင်	10
ထိုင်	10
ထင်းစည်း	10
ဖူး	10
လျှင်	10
ပညာ	10
သာ	10
အကြောင်း	10
ကျောင်းသား	10
မှ	10
လိပ်ပြာ	9
၅	9
ဒီ	9
ချစ်	9
ပြန်	9
ကူညီ	9
လည်း	9
အား	9
ဘိုးဘိုး	9
မောင်ဖိုးချစ်	9
ကြား	9
ပျက်စီး	9
နေ့	9
ထွက်	8
စီး	8
မှန်	8
ကျီး	8
မောင်	8
ဝယ်	8
ကျိုး	8
သနည်း	8
စကား	8
ချောင်း	8
တတ်	8
လယ်	8
ကွယ်	8
နှစ်	7
ရောက်	7
သလား	7
စာကြည့်တိုက်	7
အချင်းချင်း	7
ရင်	7
ဘူး	7
ဆင်	7
ဆင်း	7
ရယ်	7
ကိုယ့်	7
မြေခွေး	7
လုံး	7
အတူ	7
ဟု	7
ဘယ်	7
ဘ	7
ဟန်	7
အမူအရာ	7
ပဲ	7
လို	7
တန်း	7
ဒုတိယ	7
ပေါ်	7
ခြင်း	6
ပြ	6
ဝင်	6
ဦးဇီးကွက်	6
ခြောက်	6
၆	6
ဖို့	6
ဆောင်ရွက်	6
အေး	6
အမည်	6
ပျော်	6
တင်	6
ပြုလုပ်	6
သူ့	6
မနက်	6
တက်	6
စာဘူးတောင်း	6
တာဝန်	6
ကိုက်	6
မေမေ	6
ဆုံး	5
ရန်	5
ချက်	5
ခုန်	5
ပြေး	5
ချိန်	5
ခါ	5
ပေါက်	5
နာမည်	5
ကြက်	5
အဲဒီ	5
အောက်	5
ကျွန်တော့်	5
ယုန်	5
ကြွက်	5
ဖြေ	5
ခိုင်း	5
ပို	5
စီ	5
စောင်း	5
အချိန်	5
မောင်း	5
အပင်	5
စုပေါင်း	5
ဖြင့်	5
အလွန်	5
လူငယ်	5
အတွင်း	5
ပြတင်းပေါက်	5
ခု	5
ကြာ	5
ည	5
အမေ	5
သေး	5
သန့်ရှင်း	5
လူ	5
တောင်	5
သီတင်းကျွတ်	5
ကောင်	5
ထည့်	5
လွှတ်	5
ဒါ	5
သင်	5
ကွင်း	5
ဖခင်	5
မူလတန်း	5
အစ်မ	5
မှု	5
မြင်ကွင်း	5
စဉ်	5
ဆိတ်	5
မိဘ	5
ဈေး	5
သစ်	5
ပင့်	5
ဆင့်	5
မြန်မာ	5
ဆွဲ	5
တွေ့	4
လျှောက်	4
ငြိမ်း	4
တွန်း	4
သို့	4
တွင်း	4
စိတ်ဝင်စား	4
ပုံပြင်	4
စည်း	4
ချီ	4
ရိုက်	4
အသားတုံး	4
လှည်း	4
ပြိုင်ပွဲ	4
လက်	4
မြင်	4
အစည်း	4
အချက်	4
ပွင့်	4
အများ	4
အတွက်	4
ပေါ	4
မင်္ဂလာ	4
ကြိုးစား	4
ကုန်	4
ဝိုင်းဝန်း	4
သံ	4
နော်	4
မှိတ်	4
တော	4
ကား	4
မျောက်	4
ဆု	4
ပြတ်	4
ကြိတ်	4
မိခင်	4
ကောက်ညှင်းပေါင်း	4
သူငယ်ချင်း	4
ပုံသဏ္ဌာန်	4
သစ်ပင်	4
အစာ	4
အသံ	4
တက္ကသိုလ်	4
ကျင်းပ	4
စာပိုဒ်	4
နေ့လယ်	4
ပန်းပွင့်	4
စဉ်းစား	4
ကပ်	4
ခေါ်	4
ပျက်	4
သေသေချာချာ	4
ရေအိုင်	4
၌	4
စ	4
ဒေါ်အေး	4
ထန်းသုံးပင်	4
အစ်ကို	4
ပြင်	4
ထင်း	4
ထင်	4
..	4
အဘယ်	4
တိုက်	4
၇	4
ကြောင်	4
ငှက်ပျောသီး	4
ထိန်	4
စိုက်	4
လုံ	4
အခန်း	4
ကြိုက်	4
နားထောင်	4
ပိတ်	4
ရုပ်ပုံ	4
ယာဉ်	3
စိတ်	3
ကမ္ဘာ	3
မေးခွန်း	3
ကိုင်	3
အလင်းရောင်	3
စက်ဘီး	3
နင်း	3
သည့်	3
င	3
မိ	3
စာသင်ခန်း	3
အိတ်	3
ပေ	3
မျိုး	3
အလံ	3
အိပ်	3
နိုင်ငံတော်	3
ရပ်	3
ဆရာ	3
ဖတ်	3
မိန်းကလေး	3
အရေး	3
စပါး	3
ထုတ်	3
ကျ	3
ဘုရား	3
စေတနာ	3
စကားလုံး	3
စို့	3
အမြဲ	3
တုံး	3
ကျွိ	3
မုန်း	3
အဖေ	3
မုန့်	3
တူ	3
သ	3
ဆီ	3
ယခု	3
ယုံ	3
သင်ယူ	3
ဝှက်	3
ဝါကျ	3
ကျွန်မ	3
သမီး	3
၈	3
ချ	3
နေရာ	3
ပျော်ပျော်ရွှင်ရွှင်	3
တနင်္ဂနွေ	3
အလွယ်တကူ	3
ခတ်	3
သင့်	3
စည်းစည်းလုံးလုံး	3
ထင်းချောင်း	3
အခါ	3
ကောင်းမွန်	3
ထိန်း	3
ကျွမ်းကျင်	3
ခွန်အား	3
ဘကြီးဖြိုး	3
သော်	3
သိမ်း	3
လွန်း	3
ငြိမ်	3
မြတ်	3
စွန်	3
ပုသိမ်ထီး	3
ညီလေး	3
ခြံ	3
ရှေး	3
စာသင်	3
အားလုံး	3
ဇီးကွက်	3
ခံစား	3
အခု	3
လမ်းလျှောက်	3
ဖြောင့်	3
နှုတ်	3
တုတ်	3
မြင်း	3
အားပေး	3
စွာ	3
ဘဲ	3
ပန်းဝတ်ရည်	3
ယွန်းအစ်	3
အုပ်	3
ဝါး	3
ဖြည့်	3
ပိုးစုန်းကြူး	3
ဟုတ်	3
အားလပ်ရက်	3
ပိတုန်း	3
စောင်	3
ဖောက်	3
ကြောင်း	3
ခုတ်	3
ထမင်း	3
မောင်မောင်	3
ဆောင်း	3
ရွှေ	3
ရောင်း	3
ကျစ်	3
နှိုက်	3
ပြုတ်	3
ကြည့်ရှု	3
ဖက်	3
ရှဉ့်	3
စက်	3
ရော	3
မြေး	3
စည်းကမ်း	3
အမှိုက်	3
မြစ်	3
ကွက်	3
ဖျက်ဆီး	3
ညစ်	3
ကောင်းကင်	3
စာဖတ်	3
သောက်ရေအိုး	3
ရာသီ	3
မို့	3
သယ်	3
ရိပ်	3
အသီး	3
ကျက်	3
အိုင်	3
မေ့	3
ကိုရွှေကျီး	2
ယပ်တောင်	2
တုန်း	2
စ်	2
မဥဩ	2
စစ်	2
တံခါး	2
အညှောက်	2
ချမ်း	2
ပညာရှိ	2
ငိုက်	2
ဟင်း	2
ချပ်	2
ခုံ	2
စောစော	2
အုံ့မှိုင်း	2
တုပ်	2
ကျိုက်	2
ဆံထုံး	2
စပ်စု	2
မေး	2
အိုးပုတ်	2
တောအုပ်	2
သိပ်	2
ဖုံး	2
မှုတ်	2
ဓာတ်ပုံ	2
ကျန်	2
ပထမ	2
စုန့်	2
စုန်	2
ရွတ်ဖတ်	2
ဆိုက်	2
ယူ	2
အုန့်	2
ဂုဏ်ပြု	2
ကွပ်ပျစ်	2
ဆွေ	2
မိတ်	2
နံရံ	2
ဆန်	2
ကြုံ	2
လှိုက်လှိုက်လှဲလှဲ	2
ကျွတ်	2
စာစောင်	2
ကောက်စိုက်	2
လိုက်နာ	2
ကွပ်	2
ပြွတ်	2
ပေါင်း	2
စုန်း	2
မျက်စိ	2
ကုံး	2
မီးပုံးပျံ	2
ကြက်ခွပ်တမ်း	2
ဝတ်	2
လွတ်	2
ကျုတ်	2
ကစ်	2
အဝတ်	2
ညှပ်	2
ကုတ်	2
န်း	2
မှုန့်	2
မှုန်	2
ဖြုံ	2
ဝိုင်း	2
ပွတ်တိုက်	2
ထပ်	2
ချုံ	2
ဥဩ	2
တောက်တဲ့	2
ရထား	2
ထွန်	2
နွားတင်းကုပ်	2
အော်ဟစ်	2
ရက်ကန်းစင်	2
ရွက်လှေ	2
တ	2
ကျေးလက်	2
ကျိပ်	2
-ဉ်	2
ကြက်တူရွေး	2
မြို့ပြ	2
မမ	2
အပ်	2
ချိပ်	2
တိုး	2
-တ်	2
ငွေ	2
ပျား	2
ဉာဏ်	2
မြိတ်	2
ရှေ့	2
မှည့်	2
သီးနှံ	2
အသက်	2
လိပ်	2
ပိန္နဲသီး	2
ပ	2
တိရစ္ဆာန်	2
သဘောကျ	2
ခက်	2
ဝ	2
တိတ်	2
မြှောက်	2
ဆ	2
ရောဂါ	2
တည်း	2
ကိပ်	2
အော်	2
-ဏ်	2
မြက်	2
ကိတ်	2
ပဉ္စမ	2
မြှောက်ပင့်	2
ယ	2
အဆွေ	2
ခွက်	2
အဓိပ္ပာယ်	2
