Word	Count
။	568
ကလေး	149
ပါ	148
ကြ	133
ကြည့်	105
ကို	98
တွေ	92
နေ	84
၊	73
သည်	71
က	71
မယ်	70
(	67
)	65
လာ	61
ရေး	56
မ	56
ရ	55
တို့	51
များ	49
မှာ	48
တယ်	46
ကာရယ်	46
ပြော	41
နဲ့	40
ရအောင်	39
ကြီး	36
လား	36
သလဲ	34
စို့	34
တဲ့	31
ဘာ	30
လို့	28
ရွတ်ဆို	28
အမည်	28
၏	28
ရုပ်ပုံ	26
စား	24
သလား	23
ထဲ	23
ပေး	23
သွား	22
ဆို	21
စေ	21
___	21
ကစား	20
တော့	20
တာ	20
ကဗျာ	19
၁	19
ထား	18
လဲ	17
မည်	17
ရှိ	17
၂	17
ပြီး	16
၃	16
တစ်	16
ယူ	16
ဗျည်း	16
ယုန်	16
ဖတ်	15
ထောက်	15
ကွယ်	15
သင်ကြား	14
စာလုံး	14
စာ	13
စီ	13
သရ	13
ရွေး	13
ဘယ်	13
၄	13
လုပ်	13
လည်း	13
သာ	13
ဟာ	13
၍	13
သား	13
လိုက်	12
စကား	12
စကားလုံး	12
သတဲ့	12
ကြောင်	12
သူ	12
အမှန်	12
မမ	11
လ	11
ရေ	11
အသံ	11
ပြီ	11
ဆရာမ	11
သုံး	10
လေ	10
မိသားစု	10
ရော	10
စပါး	10
ရဲ့	10
ဆင်	10
နိုင်	10
လေး	10
တူ	10
မြွေ	10
တွဲ	10
ဖြစ်	10
""""	10
လူ	10
အခါ	10
/	10
ပန်း	9
တွေ့	9
ခြင်္သေ့	9
ခဲ့	9
ဂူ	9
ဒီ	9
အဲဒီ	9
အ	9
ကြွက်	9
ပေါ်	9
ရှာ	9
ငါး	9
သိ	9
ဖို့	9
၅	9
ထွက်	9
ခွေး	9
ဤ	8
ဖေဖေ	8
၌	8
ရယ်	8
အိုး	8
သူငယ်ချင်း	8
နွား	8
မှ	8
နှစ်	8
ဘယ်လို	8
တော	8
စရာ	8
ကျွဲ	7
ဆရာ	7
ည	7
သမီး	7
အို	7
ပေ	7
ပြည်	7
ပွဲ	7
မြေ	7
ငှက်ပျောသီး	7
ပူ	7
ဝယ်	7
ချစ်	7
မျဉ်းသား	7
စီး	7
မေမေ	7
သံတူ	7
ပြန်	7
နာမည်	7
အမူအရာ	7
ပြေး	6
ပါလား	6
မီး	6
ချွေး	6
မှတ်	6
ခေါ်	6
ဆွဲ	6
မီးရထား	6
ချို	6
ဗျည်းတွဲ	6
ဘဲ	6
လေ့ကျင့်	6
ကြက်	6
အသီး	6
မျောက်	6
ဝ	6
ရှဉ့်	6
ဒရယ်	6
ကြာ	6
နား	6
ကြွေ	6
မိုး	6
ကောင်	6
ရွာ	6
မျှော့	6
သို့	6
မင်္ဂလာ	6
ချင်	6
ဆီ	6
ဖိုးသာထူး	6
မိဘ	6
ရင်	6
ပုံ	6
ကြောင့်	6
ကဲ	6
မော	6
လှေ	6
စ	6
ကူညီ	5
ရေကန်	5
လမ်း	5
မျှော်	5
နေရာ	5
ရွှေ	5
ငွေ	5
အသား	5
ဖူး	5
ဒါ	5
လက္ခဏာ	5
အဲဒါ	5
ပေါ	5
လွှ	5
ညီညီ	5
ပလွေ	5
ဟန်	5
လှေ့	5
ဝက်ဝံ	5
ခွေ	5
ဩဇာသီး	5
အားရပါးရ	5
လျှော်	5
ဝါး	5
မွှေး	5
ဟု	5
ဖြည့်	5
ဆု	5
ဟ	5
ရိုသေ	5
သူ့	5
တင်မိုး	5
ပင်	5
ပဲ	5
ရထား	5
ပွဲတော်	5
လွှတ်	5
အတူတူ	5
ပြ	5
ကျား	5
စားစရာ	5
မိတ်ဆက်	5
ငန်း	5
အေး	5
ပညာ	5
လျှာ	5
သ	4
ကျောင်း	4
ကျ	4
ရာ	4
ရရစ်	4
ပဝါ	4
ယပင့်	4
ပထမ	4
ဦးဦး	4
ညီလေး	4
ပ	4
ဖမ်း	4
လွှား	4
အား	4
ကော့	4
သာယာ	4
နယ်	4
လှည်း	4
ဝင်	4
ဝါဝါ	4
ညီညီညာညာ	4
လယ်	4
လယ်တဲ	4
ပုံပြင်	4
ဖရဲသီး	4
ခဲတံ	4
ပြု	4
အလှူ	4
ယာ	4
နေ့	4
မေး	4
တော်	4
တရား	4
ခြစ်	4
အနား	4
အန်	4
ပွင့်	4
စလုံး	4
တိုး	4
ပျော်	4
နောက်	4
အားကိုး	4
ပိုးကောင်	4
မျှော	4
အံ	4
ကွဲ့	4
င	4
စဉ်းစား	4
ဝဆွဲ	4
အကောင်	4
လွှဲ	4
ဘူးသီး	4
ခ	4
ကန်	4
အတူတကွ	4
ဆ	4
အနားယူ	4
အော်	4
ကာ	4
ကိုယ်	4
လျှော	4
ဖိုးစလုံး	4
ရွတ်ဖတ်	4
ဆီးသီး	4
မြှူ	4
အတန်း	4
နွှဲ	4
နွှဲပျော်	4
အစားအစာ	4
ဘိုးဘိုး	4
ထီး	4
နာ	4
ဆီမီး	4
လူကလေး	4
...	4
လင်္ကာ	4
ခရီး	4
ကျွန်တော့်	4
နည်း	4
ကျွေး	4
ကမ်း	4
ဝဝ	3
မျှ	3
မို့	3
ယောက်	3
အမြွှာ	3
ကော	3
ရောက်	3
ခို	3
စိတ်ဆိုး	3
မွှေးကြူ	3
-	3
ဖော့	3
ပျော်ပျော်ရွှင်ရွှင်	3
ရွှေ့	3
ပေါ့	3
ဆက်	3
ဪ	3
ဖော	3
အော့	3
မိ	3
အာ	3
စံပယ်ပန်း	3
မေမေ့	3
နာရီ	3
သတိ	3
ဆော့	3
-မ်း	3
-မ်	3
အနီး	3
-န်း	3
သတိရ	3
ဈေး	3
-န်	3
လယ်တော	3
ပူဇော်	3
နီး	3
နီ	3
အံ့	3
တောင်းပန်	3
အန်း	3
အန့်	3
အူ	3
ရဲရဲဝံ့ဝံ့	3
ငုဝါ	3
အာလူး	3
မျှမျှတတ	3
စံပယ်ပွင့်	3
ချော့မြှူ	3
ရေကူး	3
ဘုရားဖူး	3
ခါး	3
စု	3
အီ	3
အိ	3
မြှေး	3
ကော်ဖီ	3
ကောက်	3
ခရမ်းသီး	3
စို	3
အစာ	3
မော့	3
မော်	3
လယ်သမား	3
လူငယ်	3
လန့်	3
သံ	3
ငါးမျှားတံ	3
လျှော်စည်း	3
ညီမျှ	3
ရယ်မော	3
အဲ	3
ရဲဘော်	3
ကစားစရာ	3
ဖလား	3
နဂါး	3
လေးစား	3
သော့	3
မလား	3
ဝေး	3
ယှဉ်တွဲ	3
ပန်	3
ယနေ့	3
အားပေး	3
ကား	3
ဘောလုံး	3
စံပယ်	3
အတွက်	3
ကွဲ	3
လို	3
ကြိုးစား	3
ငယ်	3
အဘိုး	3
ပွေ့ချီ	3
ဒ	3
ဆရာ့	3
ဘူး	3
ချွဲ	3
တွယ်	3
အက	3
အမှား	3
ကြား	3
မြွှာ	3
